TIPO_VIA;NOMBRE_VIA;NUMERO;RESTO;texto;entidades
CALLE;DE MIGUEL SOLAS;nº8;1-CTRO;CALLE DE MIGUEL SOLAS nº8 1-CTRO;('CALLE DE MIGUEL SOLAS nº8 1-CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CALLE;DE JUAN DE VERA;nr38;7ºC;CALLE DE JUAN DE VERA nr38 7ºC;('CALLE DE JUAN DE VERA nr38 7ºC', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DE LAS MERCANCIAS;n23;8*IZDA;CALLE DE LAS MERCANCIAS n23 8*IZDA;('CALLE DE LAS MERCANCIAS n23 8*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 27, 'NUMERO'), (28, 34, 'RESTO')]})
CAMINO;DE VALDECULEBRA;nr9,;6 B;CAMINO DE VALDECULEBRA nr9, 6 B;('CAMINO DE VALDECULEBRA nr9, 6 B', {'entities': [(0, 6, 'TIPO_VIA'), (7, 22, 'NOMBRE_VIA'), (23, 27, 'NUMERO'), (28, 31, 'RESTO')]})
CALLE;DE SAN CRISPIN;n33,;3*DCHA;CALLE DE SAN CRISPIN n33, 3*DCHA;('CALLE DE SAN CRISPIN n33, 3*DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CALLE;DE FRANCISCO GARCIA;n34;4*C;CALLE DE FRANCISCO GARCIA n34 4*C;('CALLE DE FRANCISCO GARCIA n34 4*C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 25, 'NOMBRE_VIA'), (26, 29, 'NUMERO'), (30, 33, 'RESTO')]})
CALLE;DE LA BATALLA DE WAD-RAS;nº19,;8-A;CALLE DE LA BATALLA DE WAD-RAS nº19, 8-A;('CALLE DE LA BATALLA DE WAD-RAS nº19, 8-A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 30, 'NOMBRE_VIA'), (31, 36, 'NUMERO'), (37, 40, 'RESTO')]})
CALLE;DE LAS HIJAS DE JESUS;n39,;5-DCHA;CALLE DE LAS HIJAS DE JESUS n39, 5-DCHA;('CALLE DE LAS HIJAS DE JESUS n39, 5-DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 32, 'NUMERO'), (33, 39, 'RESTO')]})
PLAZA;DEL PINTOR LUCAS;nr26;6ºC;PLAZA DEL PINTOR LUCAS nr26 6ºC;('PLAZA DEL PINTOR LUCAS nr26 6ºC', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 27, 'NUMERO'), (28, 31, 'RESTO')]})
PLAZA;DE SAN JUAN DE LA CRUZ;nº18;8B;PLAZA DE SAN JUAN DE LA CRUZ nº18 8B;('PLAZA DE SAN JUAN DE LA CRUZ nº18 8B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 28, 'NOMBRE_VIA'), (29, 33, 'NUMERO'), (34, 36, 'RESTO')]})
GLORIETA;DE JOSE FRANCISCO DE ISLA;n*39;5DCHA;GLORIETA DE JOSE FRANCISCO DE ISLA n*39 5DCHA;('GLORIETA DE JOSE FRANCISCO DE ISLA n*39 5DCHA', {'entities': [(0, 8, 'TIPO_VIA'), (9, 34, 'NOMBRE_VIA'), (35, 39, 'NUMERO'), (40, 45, 'RESTO')]})
CALLE;DEL MAR CANTABRICO;n27;1 CTRO;CALLE DEL MAR CANTABRICO n27 1 CTRO;('CALLE DEL MAR CANTABRICO n27 1 CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 28, 'NUMERO'), (29, 35, 'RESTO')]})
CALLE;DE LAS PLATERIAS;n7,;5A;CALLE DE LAS PLATERIAS n7, 5A;('CALLE DE LAS PLATERIAS n7, 5A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 26, 'NUMERO'), (27, 29, 'RESTO')]})
CALLE;DEL CARDENAL SOLIS;n*9;5*IZDA;CALLE DEL CARDENAL SOLIS n*9 5*IZDA;('CALLE DEL CARDENAL SOLIS n*9 5*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 28, 'NUMERO'), (29, 35, 'RESTO')]})
CALLE;DE LUISA FERNANDA;nr38,;4 C;CALLE DE LUISA FERNANDA nr38, 4 C;('CALLE DE LUISA FERNANDA nr38, 4 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 29, 'NUMERO'), (30, 33, 'RESTO')]})
CALLE;DEL PORTICO DE LA GLORIA;24;2 CTRO;CALLE DEL PORTICO DE LA GLORIA 24 2 CTRO;('CALLE DEL PORTICO DE LA GLORIA 24 2 CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 30, 'NOMBRE_VIA'), (31, 33, 'NUMERO'), (34, 40, 'RESTO')]})
CALLE;DEL FRANCOLIN;n28;2-C;CALLE DEL FRANCOLIN n28 2-C;('CALLE DEL FRANCOLIN n28 2-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 19, 'NOMBRE_VIA'), (20, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE EVORA;n*36,;8*DCHA;CALLE DE EVORA n*36, 8*DCHA;('CALLE DE EVORA n*36, 8*DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 14, 'NOMBRE_VIA'), (15, 20, 'NUMERO'), (21, 27, 'RESTO')]})
CALLE;DEL CANAL DEL BOSFORO;n9;4IZDA;CALLE DEL CANAL DEL BOSFORO n9 4IZDA;('CALLE DEL CANAL DEL BOSFORO n9 4IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 30, 'NUMERO'), (31, 36, 'RESTO')]})
CALLE;DEL SOTILLO;nº9,;4C;CALLE DEL SOTILLO nº9, 4C;('CALLE DEL SOTILLO nº9, 4C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 22, 'NUMERO'), (23, 25, 'RESTO')]})
CALLE;DE CREVILLENTE;23,;4*D;CALLE DE CREVILLENTE 23, 4*D;('CALLE DE CREVILLENTE 23, 4*D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 24, 'NUMERO'), (25, 28, 'RESTO')]})
PLAZA;DE BARBADOS;nr39;7 C;PLAZA DE BARBADOS nr39 7 C;('PLAZA DE BARBADOS nr39 7 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 22, 'NUMERO'), (23, 26, 'RESTO')]})
CALLE;DEL CRUCERO BALEARES;n*32;4-B;CALLE DEL CRUCERO BALEARES n*32 4-B;('CALLE DEL CRUCERO BALEARES n*32 4-B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 31, 'NUMERO'), (32, 35, 'RESTO')]})
CALLE;DE SAINZ DE LA CALLEJA;n*6;5*B;CALLE DE SAINZ DE LA CALLEJA n*6 5*B;('CALLE DE SAINZ DE LA CALLEJA n*6 5*B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 28, 'NOMBRE_VIA'), (29, 32, 'NUMERO'), (33, 36, 'RESTO')]})
CALLE;DE VEGA DE PAS;20;10-DCHA;CALLE DE VEGA DE PAS 20 10-DCHA;('CALLE DE VEGA DE PAS 20 10-DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 23, 'NUMERO'), (24, 31, 'RESTO')]})
CALLE;DE VARGAS HEREDIA;38;10 IZDA;CALLE DE VARGAS HEREDIA 38 10 IZDA;('CALLE DE VARGAS HEREDIA 38 10 IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 26, 'NUMERO'), (27, 34, 'RESTO')]})
CALLE;DE ALBANIA;40,;2 C;CALLE DE ALBANIA 40, 2 C;('CALLE DE ALBANIA 40, 2 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 20, 'NUMERO'), (21, 24, 'RESTO')]})
CALLE;DE CARLOS AURIOLES;n26;5 CTRO;CALLE DE CARLOS AURIOLES n26 5 CTRO;('CALLE DE CARLOS AURIOLES n26 5 CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 28, 'NUMERO'), (29, 35, 'RESTO')]})
PLAZA;DE CASTO FERNANDEZ SHAW;nº27,;7-B;PLAZA DE CASTO FERNANDEZ SHAW nº27, 7-B;('PLAZA DE CASTO FERNANDEZ SHAW nº27, 7-B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 29, 'NOMBRE_VIA'), (30, 35, 'NUMERO'), (36, 39, 'RESTO')]})
PLAZA;DE LOS REYES MAGOS;1;1B;PLAZA DE LOS REYES MAGOS 1 1B;('PLAZA DE LOS REYES MAGOS 1 1B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 26, 'NUMERO'), (27, 29, 'RESTO')]})
CALLE;DE JUAN BAUTISTA DE TOLEDO;n*30;3-CTRO;CALLE DE JUAN BAUTISTA DE TOLEDO n*30 3-CTRO;('CALLE DE JUAN BAUTISTA DE TOLEDO n*30 3-CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 32, 'NOMBRE_VIA'), (33, 37, 'NUMERO'), (38, 44, 'RESTO')]})
CALLE;DEL GLADIOLO;nº8,;8B;CALLE DEL GLADIOLO nº8, 8B;('CALLE DEL GLADIOLO nº8, 8B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 26, 'RESTO')]})
CALLE;DEL CARDENAL SILICEO;n26;8*CTRO;CALLE DEL CARDENAL SILICEO n26 8*CTRO;('CALLE DEL CARDENAL SILICEO n26 8*CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 30, 'NUMERO'), (31, 37, 'RESTO')]})
CALLE;DEL BARRIAL;17;9 IZDA;CALLE DEL BARRIAL 17 9 IZDA;('CALLE DEL BARRIAL 17 9 IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 20, 'NUMERO'), (21, 27, 'RESTO')]})
CALLE;DEL ARGA;17,;2-A;CALLE DEL ARGA 17, 2-A;('CALLE DEL ARGA 17, 2-A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 14, 'NOMBRE_VIA'), (15, 18, 'NUMERO'), (19, 22, 'RESTO')]})
CALLE;DE CEUTA;nº44,;2CTRO;CALLE DE CEUTA nº44, 2CTRO;('CALLE DE CEUTA nº44, 2CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 14, 'NOMBRE_VIA'), (15, 20, 'NUMERO'), (21, 26, 'RESTO')]})
CALLE;DE LUSCINDA;n23;8CTRO;CALLE DE LUSCINDA n23 8CTRO;('CALLE DE LUSCINDA n23 8CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 21, 'NUMERO'), (22, 27, 'RESTO')]})
CALLE;DE SERRANO;n*34;3ºDCHA;CALLE DE SERRANO n*34 3ºDCHA;('CALLE DE SERRANO n*34 3ºDCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 21, 'NUMERO'), (22, 28, 'RESTO')]})
AVENIDA;DEL ARROYO DEL SANTO;n*7;2ºD;AVENIDA DEL ARROYO DEL SANTO n*7 2ºD;('AVENIDA DEL ARROYO DEL SANTO n*7 2ºD', {'entities': [(0, 7, 'TIPO_VIA'), (8, 28, 'NOMBRE_VIA'), (29, 32, 'NUMERO'), (33, 36, 'RESTO')]})
GLORIETA;DEL EJERCITO;n*22;6*B;GLORIETA DEL EJERCITO n*22 6*B;('GLORIETA DEL EJERCITO n*22 6*B', {'entities': [(0, 8, 'TIPO_VIA'), (9, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DE ANDEVALO;n*1;5-CTRO;CALLE DE ANDEVALO n*1 5-CTRO;('CALLE DE ANDEVALO n*1 5-CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 21, 'NUMERO'), (22, 28, 'RESTO')]})
CALLE;DE LA CAVA ALTA;n*16,;3 C;CALLE DE LA CAVA ALTA n*16, 3 C;('CALLE DE LA CAVA ALTA n*16, 3 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 27, 'NUMERO'), (28, 31, 'RESTO')]})
CALLE;DE LA FLOR DE PASCUA;n17;8C;CALLE DE LA FLOR DE PASCUA n17 8C;('CALLE DE LA FLOR DE PASCUA n17 8C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 30, 'NUMERO'), (31, 33, 'RESTO')]})
CALLE;DEL ARENAL DE MAUDES;nr14;8-B;CALLE DEL ARENAL DE MAUDES nr14 8-B;('CALLE DEL ARENAL DE MAUDES nr14 8-B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 31, 'NUMERO'), (32, 35, 'RESTO')]})
CALLE;DE MONTSENY;nr21;2*B;CALLE DE MONTSENY nr21 2*B;('CALLE DE MONTSENY nr21 2*B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 22, 'NUMERO'), (23, 26, 'RESTO')]})
CALLE;DEL RINCON DE LA SOLANA;6,;5ºD;CALLE DEL RINCON DE LA SOLANA 6, 5ºD;('CALLE DEL RINCON DE LA SOLANA 6, 5ºD', {'entities': [(0, 5, 'TIPO_VIA'), (6, 29, 'NOMBRE_VIA'), (30, 32, 'NUMERO'), (33, 36, 'RESTO')]})
AVENIDA;DE LOS ANDES;n47;4D;AVENIDA DE LOS ANDES n47 4D;('AVENIDA DE LOS ANDES n47 4D', {'entities': [(0, 7, 'TIPO_VIA'), (8, 20, 'NOMBRE_VIA'), (21, 24, 'NUMERO'), (25, 27, 'RESTO')]})
CALLE;DE CALELLA;n50;1 A;CALLE DE CALELLA n50 1 A;('CALLE DE CALELLA n50 1 A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 20, 'NUMERO'), (21, 24, 'RESTO')]})
CALLE;DEL JILGUERO;nº31,;2ºA;CALLE DEL JILGUERO nº31, 2ºA;('CALLE DEL JILGUERO nº31, 2ºA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 24, 'NUMERO'), (25, 28, 'RESTO')]})
CALLE;DE VICENTE CAMARON;n5;6C;CALLE DE VICENTE CAMARON n5 6C;('CALLE DE VICENTE CAMARON n5 6C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 27, 'NUMERO'), (28, 30, 'RESTO')]})
CALLE;DE DOLORES ROMERO;45;3A;CALLE DE DOLORES ROMERO 45 3A;('CALLE DE DOLORES ROMERO 45 3A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 26, 'NUMERO'), (27, 29, 'RESTO')]})
CALLE;DE CARMEN DE BURGOS;4;9*A;CALLE DE CARMEN DE BURGOS 4 9*A;('CALLE DE CARMEN DE BURGOS 4 9*A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 25, 'NOMBRE_VIA'), (26, 27, 'NUMERO'), (28, 31, 'RESTO')]})
CALLE;DEL ALBATROS;nº30;2*B;CALLE DEL ALBATROS nº30 2*B;('CALLE DEL ALBATROS nº30 2*B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE CERVANTES;8;2ºDCHA;CALLE DE CERVANTES 8 2ºDCHA;('CALLE DE CERVANTES 8 2ºDCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 20, 'NUMERO'), (21, 27, 'RESTO')]})
CALLE;DE ALLENDE;n50,;2 DCHA;CALLE DE ALLENDE n50, 2 DCHA;('CALLE DE ALLENDE n50, 2 DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 21, 'NUMERO'), (22, 28, 'RESTO')]})
CALLE;DE SAN FLORENCIO;nº45;1ºD;CALLE DE SAN FLORENCIO nº45 1ºD;('CALLE DE SAN FLORENCIO nº45 1ºD', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 27, 'NUMERO'), (28, 31, 'RESTO')]})
CALLE;DEL AMOR DE DIOS;n*12,;9*C;CALLE DEL AMOR DE DIOS n*12, 9*C;('CALLE DEL AMOR DE DIOS n*12, 9*C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 28, 'NUMERO'), (29, 32, 'RESTO')]})
CALLE;DE CANTOS NEGROS;47,;6 D;CALLE DE CANTOS NEGROS 47, 6 D;('CALLE DE CANTOS NEGROS 47, 6 D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DE VILLARCAYO;n12;1-A;CALLE DE VILLARCAYO n12 1-A;('CALLE DE VILLARCAYO n12 1-A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 19, 'NOMBRE_VIA'), (20, 23, 'NUMERO'), (24, 27, 'RESTO')]})
PLAZA;DE MUNILLA;nº42;10-DCHA;PLAZA DE MUNILLA nº42 10-DCHA;('PLAZA DE MUNILLA nº42 10-DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 21, 'NUMERO'), (22, 29, 'RESTO')]})
CALLE;DE SIMON VIÑALS;nº32;6 B;CALLE DE SIMON VIÑALS nº32 6 B;('CALLE DE SIMON VIÑALS nº32 6 B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DE MANOLA Y ROSARIO;nº16;1ºDCHA;CALLE DE MANOLA Y ROSARIO nº16 1ºDCHA;('CALLE DE MANOLA Y ROSARIO nº16 1ºDCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 25, 'NOMBRE_VIA'), (26, 30, 'NUMERO'), (31, 37, 'RESTO')]})
CAMINO;DE LOS LABRADORES;nr49;10ºB;CAMINO DE LOS LABRADORES nr49 10ºB;('CAMINO DE LOS LABRADORES nr49 10ºB', {'entities': [(0, 6, 'TIPO_VIA'), (7, 24, 'NOMBRE_VIA'), (25, 29, 'NUMERO'), (30, 34, 'RESTO')]})
PLAZA;DEL CARMEN;n44,;6IZDA;PLAZA DEL CARMEN n44, 6IZDA;('PLAZA DEL CARMEN n44, 6IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 21, 'NUMERO'), (22, 27, 'RESTO')]})
PLAZA;DE VILLAFRANCA DE LOS BARROS;16;6ºC;PLAZA DE VILLAFRANCA DE LOS BARROS 16 6ºC;('PLAZA DE VILLAFRANCA DE LOS BARROS 16 6ºC', {'entities': [(0, 5, 'TIPO_VIA'), (6, 34, 'NOMBRE_VIA'), (35, 37, 'NUMERO'), (38, 41, 'RESTO')]})
CAMINO;DEL TIRO;46;10*IZDA;CAMINO DEL TIRO 46 10*IZDA;('CAMINO DEL TIRO 46 10*IZDA', {'entities': [(0, 6, 'TIPO_VIA'), (7, 15, 'NOMBRE_VIA'), (16, 18, 'NUMERO'), (19, 26, 'RESTO')]})
CALLE;DEL MANCO DE LEPANTO;nr19;9 CTRO;CALLE DEL MANCO DE LEPANTO nr19 9 CTRO;('CALLE DEL MANCO DE LEPANTO nr19 9 CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 31, 'NUMERO'), (32, 38, 'RESTO')]})
CALLE;DEL ESPEJO;nº19;7ºC;CALLE DEL ESPEJO nº19 7ºC;('CALLE DEL ESPEJO nº19 7ºC', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 21, 'NUMERO'), (22, 25, 'RESTO')]})
CALLE;DE SANTA ALICIA;nr21;3-CTRO;CALLE DE SANTA ALICIA nr21 3-CTRO;('CALLE DE SANTA ALICIA nr21 3-CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DE VIANA;nº34,;2ºCTRO;CALLE DE VIANA nº34, 2ºCTRO;('CALLE DE VIANA nº34, 2ºCTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 14, 'NOMBRE_VIA'), (15, 20, 'NUMERO'), (21, 27, 'RESTO')]})
CALLE;DE HONDURAS;n39;7*C;CALLE DE HONDURAS n39 7*C;('CALLE DE HONDURAS n39 7*C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 21, 'NUMERO'), (22, 25, 'RESTO')]})
CALLE;DE JULIO DANVILA;n4,;2ºC;CALLE DE JULIO DANVILA n4, 2ºC;('CALLE DE JULIO DANVILA n4, 2ºC', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DEL AÑIL;nr41;1DCHA;CALLE DEL AÑIL nr41 1DCHA;('CALLE DEL AÑIL nr41 1DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 14, 'NOMBRE_VIA'), (15, 19, 'NUMERO'), (20, 25, 'RESTO')]})
CALLE;DE RAMON GOMEZ DE LA SERNA;nr22;5 A;CALLE DE RAMON GOMEZ DE LA SERNA nr22 5 A;('CALLE DE RAMON GOMEZ DE LA SERNA nr22 5 A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 32, 'NOMBRE_VIA'), (33, 37, 'NUMERO'), (38, 41, 'RESTO')]})
TRAVESÍA;DE LA COSTA BRAVA;n*34;1-D;TRAVESÍA DE LA COSTA BRAVA n*34 1-D;('TRAVESÍA DE LA COSTA BRAVA n*34 1-D', {'entities': [(0, 8, 'TIPO_VIA'), (9, 26, 'NOMBRE_VIA'), (27, 31, 'NUMERO'), (32, 35, 'RESTO')]})
CALLE;DEL RIO SAN PEDRO;nº4;7ºB;CALLE DEL RIO SAN PEDRO nº4 7ºB;('CALLE DEL RIO SAN PEDRO nº4 7ºB', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 27, 'NUMERO'), (28, 31, 'RESTO')]})
CALLE;DEL TIBERIADES;n1;7-A;CALLE DEL TIBERIADES n1 7-A;('CALLE DEL TIBERIADES n1 7-A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DEL GENERAL ARANAZ;n5,;8-D;CALLE DEL GENERAL ARANAZ n5, 8-D;('CALLE DEL GENERAL ARANAZ n5, 8-D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 28, 'NUMERO'), (29, 32, 'RESTO')]})
CALLE;DE ANTONIO CALVO;n34,;4-IZDA;CALLE DE ANTONIO CALVO n34, 4-IZDA;('CALLE DE ANTONIO CALVO n34, 4-IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 27, 'NUMERO'), (28, 34, 'RESTO')]})
CALLE;DE PAUL GUINARD;8;6ºD;CALLE DE PAUL GUINARD 8 6ºD;('CALLE DE PAUL GUINARD 8 6ºD', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE ARNEDILLO;44;5*IZDA;CALLE DE ARNEDILLO 44 5*IZDA;('CALLE DE ARNEDILLO 44 5*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 21, 'NUMERO'), (22, 28, 'RESTO')]})
